Libellé produit,Univers,Nature,Couleurs détectées,Dimensions,embedding,sim_univers,sim_nature,univers_suspect,nature_suspect,Univers suggéré,sim_uni_best,Nature suggérée,sim_nat_best
table chevet ulos 1 tiroir niche rangement decor blanc 40 cm,Chambre Literie,Chevet,['blanc'],['40 cm'],"[ 0.01860067  0.01248344  0.0492547  ...  0.048362    0.00860612
 -0.03897233]",0.3725453,0.24424931,False,False,Chambre Literie,0.4497460126876831,Chevet,0.5336349606513977
drap housse 140 x 190 ivoire,Décoration Textile,Drap plat,['blanc'],['140 x 190'],"[-0.00464372  0.01219987 -0.00800274 ... -0.01945789  0.00478183
 -0.05510442]",0.37185478,0.589338,False,False,Décoration Textile,0.38376498222351074,Drap plat,0.6652108430862427
actisom matelas memoire forme 140x200 cm maxi epaisseur 5zones confort,Chambre Literie,Matelas,,['140x200 cm'],"[-0.00130482  0.00054485  0.03640917 ... -0.00289873 -0.01928658
  0.00357912]",0.4025391,0.5072537,False,False,Chambre Literie,0.40253910422325134,Matelas,0.5072537064552307
bureau informatique bureau angle contemporain etageres panneaux particules blanc,Bureau Rangement,Bureau,['blanc'],,"[ 0.00140901 -0.00122585  0.03432506 ... -0.01502352  0.04707273
 -0.03464282]",0.4784004,0.5045687,False,False,Bureau Rangement,0.47840040922164917,Bureau,0.5469771027565002
grande housse coussin carree bleue effet polaire 65x65 cm cozy,Décoration Textile,Housse de coussin,['bleu'],['65x65 cm'],"[ 0.00011309  0.06747992 -0.00390857 ... -0.01455273  0.03938061
 -0.04371355]",0.32690507,0.57635236,False,False,Décoration Textile,0.3269050717353821,Housse de coussin,0.5763523578643799
matelas h 4 hotel 140x200 cm 17 cm memoire forme ferme 5 zones aeration optimale,Chambre Literie,Matelas,,"['140x200 cm', '17 cm']","[ 0.01751977  0.01936965  0.01074058 ...  0.00818372 -0.01375275
  0.01346707]",0.4522611,0.5251187,False,False,Chambre Literie,0.4522610902786255,Matelas,0.5251187086105347
drap housse 200x200 cm coton uni 57 fils soleil ocre taupe,Décoration Textile,Drap plat,"['beige', 'jaune']",['200x200 cm'],"[ 0.00136242  0.02191978  0.03051114 ... -0.0328679   0.03925072
 -0.01862316]",0.35737726,0.57196873,False,False,Décoration Textile,0.3573772609233856,Drap plat,0.6609146595001221
set 4 couteaux utile,Décoration Textile,Ustensiles,,,"[-0.02269082  0.00694076 -0.00296385 ...  0.00424542 -0.02771161
 -0.01266466]",0.15413174,0.4290222,False,False,Décoration Textile,0.2472998946905136,Ustensiles,0.5063727498054504
rosa banquette clic clac scandinave tissu jaune,Canapé Salon Séjour,Banquette,['jaune'],,"[ 0.0617284   0.0373172  -0.01478412 ...  0.00814135  0.03064187
 -0.01010477]",0.40719062,0.52806526,False,False,Canapé Salon Séjour,0.40719062089920044,Banquette,0.5280652642250061
salon jardin 4 8 places vabo coloris noir coussins ecrus table encastrable,Cuisine Salle de bain,Ens table chaises,['noir'],,"[ 0.04575558 -0.02380415  0.03527803 ...  0.00302671 -0.01351052
 -0.01275913]",0.22112301,0.46871987,False,False,Cuisine Salle de bain,0.4658985733985901,Ens table chaises,0.5777413845062256
etagere murale 1 porte,Chambre Literie,Accessoire ch adulte,,,"[ 0.02061761  0.0256965   0.00157788 ...  0.00626511  0.02763839
 -0.02932852]",0.30110317,0.20251907,False,False,Chambre Literie,0.3011031746864319,Accessoire ch adulte,0.5683298110961914
matelas mousse memoire forme ressort latex 160x200cm,Bureau Rangement,Meuble à chaussures,,['160x200cm'],"[ 0.03254664  0.03801944  0.03646614 ... -0.00718234 -0.04543184
  0.01369572]",0.13774845,0.27695078,False,False,Bureau Rangement,0.38831695914268494,Meuble à chaussures,0.5856748223304749
matelas boost ressorts ensaches memoire forme 140x190,Chambre Literie,Matelas,,['140x190'],"[ 0.02711637  0.02598638  0.02508762 ... -0.00136691 -0.07747267
 -0.00961562]",0.29316694,0.43985048,False,False,Chambre Literie,0.2931669354438782,Matelas,0.4508107900619507
toile imprimee oiseaux matin 100 x 40cm rose,Décoration Textile,Toile et laminage,['rose'],"['100 x 40cm', '40cm']","[ 0.02521204 -0.0068306  -0.00087046 ... -0.0034554   0.03364226
 -0.02880252]",0.20917773,0.25394872,False,False,Décoration Textile,0.20917773246765137,Toile et laminage,0.3269752860069275
roma grande armoire chambre bureau penderie multifonctions 2 portes miroir 2 tiroirs meuble rangement etageres,Chambre Literie,Armoire,,,"[ 0.0283701   0.02418762  0.00796939 ...  0.03299361  0.0097181
 -0.02653773]",0.3392319,0.5201211,False,False,Chambre Literie,0.4666849374771118,Armoire,0.5339490175247192
paris prix rideau occultant noche 140x180cm noisette,Décoration Textile,Rideau,,['140x180cm'],"[-0.03396232 -0.02751662 -0.0417527  ... -0.01655586  0.02077753
  0.01466336]",0.25465232,0.48454922,False,False,Décoration Textile,0.25465232133865356,Rideau,0.48454922437667847
matelas 90x200 cm memoire forme double face reversible viscoroll 20cm,Chambre Literie,Matelas,,"['90x200 cm', '20cm']","[ 0.00972398  0.03612166  0.00948896 ...  0.00174991 -0.01743776
  0.03064684]",0.30634624,0.38672072,False,False,Chambre Literie,0.30634623765945435,Matelas,0.43745389580726624
york s1l bureau moderne informatique ordinateur 96x50x76 chambre ado support clavier 3 tiroirs mobilier travail office,Bureau Rangement,Bureau,,,"[ 0.01747771 -0.02592857  0.03383176 ...  0.03744308  0.01151499
 -0.00918118]",0.36375615,0.29362595,False,False,Bureau Rangement,0.3637561500072479,Bureau,0.40020740032196045
coussin rectangulaire esprit scandinave 30 x 50 cm,Décoration Textile,Coussin,,"['30 x 50 cm', '50 cm']","[ 0.02838843  0.02285589 -0.00379791 ... -0.03555306  0.02384756
 -0.00556312]",0.24966356,0.47435528,False,False,Décoration Textile,0.3426205515861511,Coussin,0.4743552803993225
pack lit sommier matelas lo blanc 90x190 cm,Enfant Bébé,Lit jeune,['blanc'],['90x190 cm'],"[ 0.00552744  0.0197405  -0.00217508 ... -0.02508383 -0.01598796
 -0.03507045]",0.101101816,0.40238255,False,False,Enfant Bébé,0.45550447702407837,Lit jeune,0.6702042818069458
chaise bureau london noir,Bureau Rangement,Chaise de bureau,['noir'],,"[ 0.02454792 -0.03058427  0.037289   ... -0.00054921  0.0390457
 -0.01928046]",0.40803266,0.6472054,False,False,Bureau Rangement,0.4080326557159424,Chaise de bureau,0.6472054123878479
scandinave tapis a poils longs toucher laineux anthracite 160x230,Décoration Textile,Tapis de Salon et Ch,['gris'],['160x230'],"[-0.00046739  0.0047451   0.0198579  ... -0.03323335 -0.00791866
 -0.00685573]",0.26226777,0.5194124,False,False,Décoration Textile,0.2622677683830261,Tapis de Salon et Ch,0.5194123983383179
lit gigogne double enfants emma white 80x160 2 matelas 2 sommiers blanc livraison gratuite,Enfant Bébé,Lit jeune,['blanc'],['80x160'],"[ 0.01695068  0.01793081  0.00012229 ... -0.00815879 -0.02960001
  0.03432136]",0.20658545,0.39537635,False,False,Enfant Bébé,0.332549512386322,Lit jeune,0.45280852913856506
protege oreiller 50x70 cm,Chambre Literie,Protege oreiller,,['50x70 cm'],"[-0.07036979  0.03549198 -0.00394605 ...  0.0090815   0.01052958
  0.01381884]",0.25848296,0.7662203,False,False,Chambre Literie,0.258482962846756,Protege oreiller,0.7662202715873718
lit capitonnee premium 140cm beige,Chambre Literie,Tete de lit,['beige'],['140cm'],"[-0.00228845  0.04204346 -0.008754   ... -0.00335727 -0.02998936
 -0.02011399]",0.4709912,0.4612078,False,False,Chambre Literie,0.47099119424819946,Tete de lit,0.53678297996521
aspirateur traineau acaa 80db rouge toeg43wr,Petit Electroménager,Aspirateur traineau,['rouge'],,"[ 0.0113949   0.00298163  0.0031419  ...  0.02151451  0.012548
 -0.0422106 ]",0.16863431,0.64619654,False,False,Petit Electroménager,0.20300710201263428,Aspirateur traineau,0.6461965441703796
bougie parfumee,Décoration Textile,Bougie,,,"[ 0.02022811  0.04065533 -0.04470913 ...  0.02090062  0.00365935
  0.02311675]",0.16754484,0.7729352,False,False,Décoration Textile,0.16754484176635742,Bougie,0.7729352116584778
lit cabane 90x200 cm,Enfant Bébé,Lit jeune,,['90x200 cm'],"[ 0.02759326  0.02309206 -0.00065682 ... -0.01045859 -0.02243529
  0.00968568]",0.13288589,0.4372896,False,False,Enfant Bébé,0.44016194343566895,Lit jeune,0.5523144602775574
sintra b commode style moderne chambre salon bureau 98x70x40 cm 4 tiroirs meuble rangement contemporain blanc,Chambre Literie,Commode,['blanc'],,"[ 0.02721608 -0.06651219  0.02331721 ... -0.01005806  0.00696964
 -0.03664524]",0.3325593,0.31902248,False,False,Chambre Literie,0.5598149299621582,Commode,0.5841842293739319
klarstein hudson refrigerateur 88 litres compartiment frais eclairage led 3 clayettes verre classe a gris,Gros Electroménager,Refrigerateur,['gris'],,"[ 0.01917278  0.05609759  0.03062979 ... -0.00930867  0.06005168
 -0.0140098 ]",0.15547533,0.55932796,False,False,Gros Electroménager,0.19882439076900482,Refrigerateur,0.5593279600143433
nappe anti ches carree 140x140 cm alix vert,Décoration Textile,Linge de table,['vert'],['140x140 cm'],"[-0.01547523 -0.03176757 -0.00478744 ... -0.0354242  -0.02029043
 -0.02529844]",0.24598077,0.30244765,False,False,Décoration Textile,0.24598076939582825,Linge de table,0.42578282952308655
oceanic set petit dejeuner cafetiere bouilloire grille pain presse agrume noir,Petit Electroménager,Cafetière filtre,['noir'],,"[-0.02883288  0.02679387  0.02970973 ... -0.02273703 -0.01611024
  0.02446179]",0.26217908,0.36125696,False,False,Petit Electroménager,0.26217907667160034,Cafetière filtre,0.43516212701797485
klarfit ultimate gym 9000 station musculation a charge guidee multifonction plus 100 excercises noir,Jardin Loisirs Sport,Appareil musculation,['noir'],,"[ 0.01965932 -0.00404916  0.0130346  ...  0.01481623 -0.03138808
  0.00216823]",0.1739558,0.4779935,False,False,Jardin Loisirs Sport,0.1739557981491089,Appareil musculation,0.5007943511009216
arnould espace evolution plaque 3 postes magnesium,Jardin Loisirs Sport,Outil multifonction,,,"[-0.05468542  0.01191629  0.00727093 ... -0.04409357 -0.01179319
 -0.00379283]",0.084142484,0.22737145,False,False,Jardin Loisirs Sport,0.16584238409996033,Outil multifonction,0.3525250554084778
lit double adulte thomas lit couchage 140 x 200 cm 2 places 2 personnes pin massif vernis naturel,Chambre Literie,Lit adulte,,"['140 x 200 cm', '200 cm']","[ 0.01902847  0.0404679  -0.00624285 ...  0.04751852 -0.00854856
  0.00421055]",0.39639354,0.53927946,False,False,Chambre Literie,0.3963935375213623,Lit adulte,0.5392794609069824
groupe filtrant 770m h airlux 52cm a ahf 571 ix,Gros Electroménager,Hotte,,"['770m', '52cm']","[-0.03392108 -0.02775021  0.04391211 ... -0.05940339  0.02983583
 -0.00835379]",0.15916757,0.16426681,False,False,Gros Electroménager,0.16855168342590332,Hotte,0.4463777542114258
table repas a allonge beton cire clair lubio 137 185 x 90 x h 79 neuf,Canapé Salon Séjour,Table,,['185 x 90'],"[ 0.0241052   0.02489074  0.01164677 ... -0.00856426 -0.03154853
  0.01586261]",0.2935173,0.32725528,False,False,Canapé Salon Séjour,0.2935172915458679,Table,0.40270429849624634
tapis design moderne 160x230 cm rectangulaire marmir ll beige chambre adapte chauffage sol,Décoration Textile,Tapis de Salon et Ch,['beige'],['160x230 cm'],"[ 0.04986693 -0.00727111  0.0125202  ... -0.00609954  0.03494977
 -0.00500657]",0.30854452,0.53870976,False,False,Décoration Textile,0.33307498693466187,Tapis de Salon et Ch,0.5387097597122192
cuiseur a ufs electrique machine omelette oeufs durs noir materiau sans bishpenol a polypropylene,Petit Electroménager,Autre cuisson,['noir'],,"[ 0.0220031   0.04740393 -0.00973573 ...  0.0385556  -0.03406264
  0.0324537 ]",0.26698023,0.26247185,False,False,Petit Electroménager,0.26698023080825806,Autre cuisson,0.35340601205825806
table bureau mobile reglable blanche,Bureau Rangement,Bureau,,,"[ 0.04250984  0.00450419  0.03732624 ...  0.04273715  0.01156327
 -0.04498845]",0.49380937,0.5555886,False,False,Bureau Rangement,0.49380937218666077,Bureau,0.5970821976661682
faitout 20 cm couvercle,Décoration Textile,Casserole,,['20 cm'],"[-0.02631405  0.00609083  0.03095183 ... -0.02090779 -0.01516269
 -0.00935092]",0.0902074,0.30602932,False,False,Décoration Textile,0.28603336215019226,Casserole,0.49815642833709717
tabourets bar vintage marrons h61 cm lot 2 new rock,Canapé Salon Séjour,Tabouret,['marron'],,"[ 0.01839647 -0.02695612 -0.00294519 ...  0.00500559  0.00340743
  0.01047085]",0.24356139,0.5635812,False,False,Canapé Salon Séjour,0.24356138706207275,Tabouret,0.5635812282562256
trekz titanium mini slate pink,TV Son Multimédia,Casque sans fil,,,"[-0.03279824  0.07095365  0.00385319 ...  0.03802978 -0.03164144
 -0.00534148]",0.092134416,0.102166034,False,True,TV Son Multimédia,0.16313113272190094,Sticker,0.3446510434150696
faitout tous feux compris induction 2,Décoration Textile,Casserole,,,"[-0.00349219  0.07940404 -0.01027598 ...  0.02335089 -0.03383518
  0.01205185]",0.03500477,0.36371958,True,False,Cuisine Salle de bain,0.27457407116889954,Casserole,0.5968839526176453
fauteuil velours diana 1 place bleu,Canapé Salon Séjour,Fauteuil,['bleu'],,"[-6.0536963e-06 -1.5040510e-02  1.6474264e-02 ...  1.9795952e-02
  2.7358074e-02 -4.2842440e-02]",0.3639905,0.52364504,False,False,Canapé Salon Séjour,0.3639904856681824,Fauteuil,0.5355889797210693
giantex trampoline enfant 140 cm filet protection trampoline fitness rond exterieur charge max 50kg,Jardin Loisirs Sport,Trampoline,,['140 cm'],"[-0.06856598 -0.00038363 -0.03664714 ... -0.0164321  -0.00910727
 -0.02225804]",0.3103906,0.58496284,False,False,Jardin Loisirs Sport,0.3103905916213989,Trampoline,0.5849628448486328
papier peint poutre metallique a treillis acier brosse,Décoration Textile,Papier peint,['gris'],,"[-0.01921362 -0.0044719   0.00212639 ...  0.00020287  0.0393384
 -0.01978195]",0.27357486,0.56725657,False,False,Décoration Textile,0.2735748589038849,Papier peint,0.5672565698623657
atmosphera lot 4 miroirs adhesifs vagues 20x20,Décoration Textile,Miroir,,['20x20'],"[-0.00764707 -0.044196    0.01682246 ... -0.05514735  0.00770603
 -0.01195583]",0.1710788,0.5043719,False,False,Décoration Textile,0.20915713906288147,Miroir,0.5043718814849854
lucerne bibliotheque contemporaine 5 niches salon bureau chambre 180x80x30cm meuble rangement blanc,Bureau Rangement,Bibliotheque,['blanc'],,"[ 0.01281667  0.0166709   0.05532341 ... -0.01896625  0.03320556
  0.00085187]",0.42800084,0.4040399,False,False,Bureau Rangement,0.4280008375644684,Bibliotheque,0.4782561957836151
simpur relax matelas 135x190 magestic ressorts ensaches mousse memoire paisseur 30 cm 9 couches differente,Chambre Literie,Matelas,,"['135x190', '30 cm']","[ 0.00054307  0.0121828   0.01981162 ...  0.00063047 -0.04018429
  0.02182491]",0.3429309,0.5506912,False,False,Chambre Literie,0.3429309129714966,Matelas,0.5804942846298218
matelas mousse a memoire forme mousse hr zenith made in france dimensions 140 x 190 cm,Chambre Literie,Matelas,,"['140 x 190 cm', '190 cm']","[ 0.00416461  0.00037079  0.02159327 ... -0.01879648 -0.01841689
 -0.01497285]",0.38505536,0.5291393,False,False,Chambre Literie,0.3850553631782532,Matelas,0.5291392803192139
vasagle meuble salle bain placard hauteur tour rangement armoire 2 portes persiennes 60 x 32 5 x 122 cm po,Cuisine Salle de bain,Rangement sdb,,"['60 x 32', '122 cm']","[ 0.0339965   0.00759332  0.03146731 ... -0.04340465  0.03503709
  0.02794312]",0.4535113,0.50892305,False,False,Cuisine Salle de bain,0.4535112977027893,Rangement sdb,0.536152720451355
chaise bureau steve blanche,Bureau Rangement,Chaise de bureau,,,"[ 0.0611875   0.00848891  0.00660362 ...  0.02695785  0.02815453
 -0.06071719]",0.35239708,0.57168496,False,False,Bureau Rangement,0.352397084236145,Chaise de bureau,0.5716849565505981
sticker geant hulk marvel 145 x 105 cm vert,Décoration Textile,Image/affiche/poster,['vert'],"['145 x 105 cm', '105 cm']","[-0.0181526  -0.02083246 -0.01224432 ... -0.00719198 -0.05589811
 -0.01685295]",0.15256982,0.30028188,False,False,Décoration Textile,0.15256981551647186,Image/affiche/poster,0.38136911392211914
table basse rectangulaire blanc plateau relevable cool,Canapé Salon Séjour,Table basse,['blanc'],,"[ 0.04598374  0.02136777 -0.00690191 ...  0.01762163  0.03392183
  0.0090702 ]",0.24072364,0.7134363,False,False,Canapé Salon Séjour,0.3191428780555725,Table basse,0.7134363055229187
pouf a tout in outdoor pouf coton violet 50x50,Canapé Salon Séjour,Pouf / repose pied,['violet'],['50x50'],"[ 0.03469842 -0.02555083  0.04098046 ...  0.03127265  0.02367276
  0.00214645]",0.26536816,0.39814988,False,False,Canapé Salon Séjour,0.3361026346683502,Pouf / repose pied,0.4225611090660095
accessoires telephone withings nokia body blanc balance connectee composition corporelle sauvegarde 8 utilisateurs blu,TV Son Multimédia,Access. PC Tablette,['blanc'],,"[-0.01155049  0.03631963 -0.02261812 ... -0.02230441 -0.02623955
 -0.0210563 ]",0.13476318,0.1893951,False,False,TV Son Multimédia,0.1888563334941864,Access. PC Tablette,0.4757493734359741
matelas dehoussable memoire forme 140x190 memory plus hbedding mousse haute densite,Chambre Literie,Surmatelas,,['140x190'],"[ 0.01804927  0.04059616  0.01170727 ... -0.00299789 -0.03979408
 -0.00226237]",0.36322108,0.47914636,False,False,Chambre Literie,0.36322107911109924,Surmatelas,0.491393506526947
adaptateur alimentation chargeur ordinateur portable hp compaq pavilion dv6 2140ef,TV Son Multimédia,Chargeur,,,"[ 0.00418414  0.04686277 -0.01930547 ...  0.00798457 -0.00921751
  0.00508237]",0.08284441,0.52324307,False,False,TV Son Multimédia,0.14576056599617004,Chargeur,0.5430402755737305
vasagle banc a chaussures etagere a chaussures a 3 niveaux armature metallique 73 x 30 x 45 cm entree salon coul,Bureau Rangement,Porte chaussures,,"['73 x 30', '45 cm']","[ 0.00104452 -0.0461751   0.00624209 ... -0.0398132   0.02369313
 -0.00758597]",0.35162944,0.37342322,False,False,Bureau Rangement,0.35162943601608276,Porte chaussures,0.5806387662887573
chaise pliante plastique metal,Jardin Loisirs Sport,Salon de jardin,,,"[ 0.03158048 -0.03209935  0.00097552 ...  0.0208649  -0.00451047
  0.01692002]",0.12999722,0.2790721,False,False,Jardin Loisirs Sport,0.2530845105648041,Salon de jardin,0.6491967439651489
parure couette 3 pieces 220 x 240 unie passepoil 100 coton 57 fils cm,Décoration Textile,Housse de couette,,['220 x 240'],"[ 0.00572569  0.0270615  -0.01717838 ... -0.00099482  0.03338914
 -0.0238068 ]",0.41925085,0.6222817,False,False,Décoration Textile,0.41925084590911865,Housse de couette,0.6339768171310425
fauteuil bureau design blanc jessy,Bureau Rangement,Chaise de bureau,['blanc'],,"[ 0.05707223 -0.04024782  0.01649972 ...  0.00220661  0.02346786
 -0.06154316]",0.39084274,0.5375566,False,False,Bureau Rangement,0.3908427357673645,Chaise de bureau,0.5375565886497498
lot 2 tabouret bar pvc blanc chrome,Canapé Salon Séjour,Bar,"['argenté', 'blanc']",,"[ 0.02495442 -0.06721823  0.00902347 ...  0.01255124 -0.03658176
  0.02190471]",0.17831036,0.3974008,False,False,Canapé Salon Séjour,0.29739028215408325,Bar,0.5385501980781555
tabouret bar design pieds ch coussin integre cleo gris,Canapé Salon Séjour,Tabouret,['gris'],,"[ 0.01935066 -0.06131581  0.03298453 ...  0.01913597 -0.01032801
  0.0406684 ]",0.3244967,0.49326462,False,False,Canapé Salon Séjour,0.35229623317718506,Tabouret,0.4932646155357361
eclat pastel rose menagere 24 pieces,Décoration Textile,Menagere couvert,['rose'],,"[ 0.05875038 -0.0137007   0.08502647 ... -0.00036076  0.03046602
 -0.01985737]",0.3176338,0.1733263,False,False,Décoration Textile,0.31763380765914917,Menagere couvert,0.38076716661453247
tapis jute naturel bord noir 120x170 atmosphera,Décoration Textile,Tapis de Salon et Ch,['noir'],['120x170'],"[ 0.01366873 -0.01051444  0.01749468 ... -0.03587525  0.00203531
  0.00066637]",0.264027,0.5417638,False,False,Décoration Textile,0.2640269994735718,Tapis de Salon et Ch,0.5706396698951721
table console extensible alga rectangulaire rallonges jusqu a 237 cm salle a manger sejour gris beton jusqu a,Canapé Salon Séjour,Table,['gris'],['237 cm'],"[ 0.03319892  0.01610272  0.04993892 ...  0.04166583 -0.02181857
  0.00330872]",0.3081135,0.40468407,False,False,Canapé Salon Séjour,0.3081134855747223,Table,0.46125197410583496
matelas 80x190 ergo confort epaisseur 14 cm rembourrage super soft juvenil ideal lits gigognes,Chambre Literie,Matelas,,"['80x190', '14 cm']","[-0.00206718  0.00900309 -0.00857594 ...  0.00905785 -0.05545505
  0.01059415]",0.44482067,0.49361718,False,False,Chambre Literie,0.44482067227363586,Matelas,0.532890260219574
chaise salle a manger noire style scandinave cuisine coiffeuse,Canapé Salon Séjour,Chaise,['noir'],,"[ 0.06106526  0.02581266 -0.01928574 ... -0.01676594  0.03616003
 -0.00780114]",0.32553023,0.4784848,False,False,Canapé Salon Séjour,0.37713778018951416,Chaise,0.5223230123519897
table basse rectangulaire tina mdf laque blanc,Canapé Salon Séjour,Table basse,['blanc'],,"[ 0.04263778  0.04633259  0.01656727 ...  0.03215933  0.00505865
 -0.02191963]",0.19181164,0.5658211,False,False,Canapé Salon Séjour,0.20365279912948608,Table basse,0.56582111120224
lit deco sable chine 140 someo,Chambre Literie,Tete de lit,['beige'],,"[ 0.00081681  0.03563052 -0.02077395 ... -0.00745841 -0.00220506
 -0.00250124]",0.46632063,0.47819996,False,False,Chambre Literie,0.46632063388824463,Tete de lit,0.5384863615036011
meuble rangement 4 paniers nasir,Canapé Salon Séjour,Buffet,,,"[ 0.02995169 -0.00977152 -0.02062712 ... -0.03197216  0.02264838
 -0.02507517]",0.35641336,0.16447386,False,False,Canapé Salon Séjour,0.45535358786582947,Buffet,0.5947017669677734
hachoir electrique,Décoration Textile,Menagere couvert,,,"[ 0.00656318  0.06545664 -0.06093971 ... -0.00326434 -0.01182534
  0.0322515 ]",0.060385108,0.00912914,True,True,Petit Electroménager,0.2675073444843292,Hachoir,0.7266323566436768
